Nr,trial,is_warmup,server0_ms,server1_ms,critical_path_ms,server_cpu_sum_ms,proof_compare_ms,proof_ok,correctness_ok
10000,0,true,14.675446,14.077825,14.675446,28.753271,0.000020,true,true
10000,0,false,13.907048,14.229447,14.229447,28.136495,0.000030,true,true
10000,1,false,14.167782,14.307638,14.307638,28.475420,0.000020,true,true
10000,2,false,13.890667,14.009348,14.009348,27.900015,0.000030,true,true
10000,3,false,14.267839,14.423783,14.423783,28.691622,0.000020,true,true
10000,4,false,14.846834,14.156371,14.846834,29.003205,0.000030,true,true
100000,0,true,153.839518,142.341227,153.839518,296.180745,0.000020,true,true
100000,0,false,142.043924,142.345210,142.345210,284.389134,0.000030,true,true
100000,1,false,142.242007,140.517403,142.242007,282.759410,0.000030,true,true
100000,2,false,143.626701,141.098928,143.626701,284.725629,0.000020,true,true
100000,3,false,141.072715,143.639816,143.639816,284.712531,0.000030,true,true
100000,4,false,140.920762,141.178691,141.178691,282.099453,0.000020,true,true
