scheme,N,ell,setup_ms,send_ms,server_ms,recipient_ms,comm_bytes,status,bottleneck
PSVFSS,256,50,5260,3,90,1,800,completed,setup
PSVFSS,512,50,10615,4,178,1,800,completed,setup
PSVFSS,1024,50,21243,8,358,1,800,completed,setup
PSVFSS,2048,50,42933,20,705,1,800,completed,setup
PSVFSS,4096,50,86675,41,1442,1,800,completed,setup
PSVFSS,8192,50,177588,101,2877,1,800,completed,setup
PSVFSS,16384,50,353393,185,5659,1,800,completed,setup
FMD,256,50,1,299,298,0,400,completed,send_gamma=24_p=2^-24_candidates=50_avg_reps=5
FMD,512,50,1,592,616,0,400,completed,server_gamma=24_p=2^-24_candidates=50_avg_reps=5
FMD,1024,50,1,1177,1196,0,400,completed,server_gamma=24_p=2^-24_candidates=50_avg_reps=5
FMD,2048,50,1,2409,2451,0,400,completed,server_gamma=24_p=2^-24_candidates=50_avg_reps=5
FMD,4096,50,1,4843,4925,0,400,completed,server_gamma=24_p=2^-24_candidates=50_avg_reps=5
FMD,8192,50,1,9637,9910,0,400,completed,server_gamma=24_p=2^-24_candidates=50_avg_reps=5
FMD,16384,50,1,19423,19864,0,400,completed,server_gamma=24_p=2^-24_candidates=50_avg_reps=5
OMR,256,50,0,0,0,0,0,timeout,phase1_pvw_to_bfv_timeout
OMR,512,50,0,0,0,0,0,timeout,phase1_pvw_to_bfv_timeout
OMR,1024,50,0,0,0,0,0,timeout,phase1_pvw_to_bfv_timeout
OMR,2048,50,0,0,0,0,0,timeout,phase1_pvw_to_bfv_timeout
OMR,4096,50,0,0,0,0,0,timeout,phase1_pvw_to_bfv_timeout
OMR,8192,50,0,0,0,0,0,timeout,phase1_pvw_to_bfv_timeout
OMR,16384,50,0,0,0,0,0,timeout,phase1_pvw_to_bfv_timeout
PPS-GC,256,50,0,0,0,0,0,timeout,server_batched_update_timeout
PPS-GC,512,50,0,0,0,0,0,timeout,server_batched_update_timeout
PPS-GC,1024,50,0,0,0,0,0,timeout,server_batched_update_timeout
PPS-GC,2048,50,0,0,0,0,0,timeout,server_batched_update_timeout
PPS-GC,4096,50,0,0,0,0,0,timeout,server_batched_update_timeout
PPS-GC,8192,50,0,0,0,0,0,timeout,server_batched_update_timeout
PPS-GC,16384,50,0,0,0,0,0,timeout,server_batched_update_timeout
