scheme,B,trial,time_ns
PSVFSS,10,0,52301
PSVFSS,10,1,66224
PSVFSS,10,2,47829
PSVFSS,10,3,57435
PSVFSS,10,4,61962
PSVFSS,10,5,48040
PSVFSS,10,6,48003
PSVFSS,10,7,89936
PSVFSS,10,8,61880
PSVFSS,10,9,64176
PSVFSS,10,10,73443
PSVFSS,10,11,68685
PSVFSS,10,12,72753
PSVFSS,10,13,47985
PSVFSS,10,14,65149
PSVFSS,10,15,52301
PSVFSS,10,16,42952
PSVFSS,10,17,96851
PSVFSS,10,18,61907
PSVFSS,10,19,62008
PSVFSS,10,20,71201
PSVFSS,10,21,54771
PSVFSS,10,22,48003
PSVFSS,10,23,68924
PSVFSS,10,24,52559
PSVFSS,10,25,61815
PSVFSS,10,26,94665
PSVFSS,10,27,96604
PSVFSS,10,28,55286
PSVFSS,10,29,70246
PSVFSS,10,30,64488
PSVFSS,10,31,53147
PSVFSS,10,32,64726
PSVFSS,10,33,71541
PSVFSS,10,34,41198
PSVFSS,10,35,87098
PSVFSS,10,36,50703
PSVFSS,10,37,62091
PSVFSS,10,38,57673
PSVFSS,10,39,60190
PSVFSS,10,40,92893
PSVFSS,10,41,57628
PSVFSS,10,42,59951
PSVFSS,10,43,65820
PSVFSS,10,44,45845
PSVFSS,10,45,57600
PSVFSS,10,46,62137
PSVFSS,10,47,76482
PSVFSS,10,48,48104
PSVFSS,10,49,66481
PSVFSS,10,50,67922
PSVFSS,10,51,71652
PSVFSS,10,52,104144
PSVFSS,10,53,62431
PSVFSS,10,54,55093
PSVFSS,10,55,81129
PSVFSS,10,56,57628
PSVFSS,10,57,59961
PSVFSS,10,58,48223
PSVFSS,10,59,76326
PSVFSS,10,60,59832
PSVFSS,10,61,59382
PSVFSS,10,62,69410
PSVFSS,10,63,64451
PSVFSS,10,64,46084
PSVFSS,10,65,48187
PSVFSS,10,66,87117
PSVFSS,10,67,74122
PSVFSS,10,68,71798
PSVFSS,10,69,57894
PSVFSS,10,70,67216
PSVFSS,10,71,46194
PSVFSS,10,72,43660
PSVFSS,10,73,55424
PSVFSS,10,74,48453
PSVFSS,10,75,53054
PSVFSS,10,76,55570
PSVFSS,10,77,60016
PSVFSS,10,78,62945
PSVFSS,10,79,50832
PSVFSS,10,80,62440
PSVFSS,10,81,69595
PSVFSS,10,82,62670
PSVFSS,10,83,90515
PSVFSS,10,84,62642
PSVFSS,10,85,60337
PSVFSS,10,86,55478
PSVFSS,10,87,86107
PSVFSS,10,88,46433
PSVFSS,10,89,59730
PSVFSS,10,90,94923
PSVFSS,10,91,43972
PSVFSS,10,92,66922
PSVFSS,10,93,64625
PSVFSS,10,94,66820
PSVFSS,10,95,69273
PSVFSS,10,96,73901
PSVFSS,10,97,43843
PSVFSS,10,98,45854
PSVFSS,10,99,67298
PSVFSS,32,0,153414
PSVFSS,32,1,200214
PSVFSS,32,2,232054
PSVFSS,32,3,199709
PSVFSS,32,4,210729
PSVFSS,32,5,182700
PSVFSS,32,6,206854
PSVFSS,32,7,152155
PSVFSS,32,8,161698
PSVFSS,32,9,192013
PSVFSS,32,10,211758
PSVFSS,32,11,142853
PSVFSS,32,12,190076
PSVFSS,32,13,166069
PSVFSS,32,14,178402
PSVFSS,32,15,180157
PSVFSS,32,16,194621
PSVFSS,32,17,209159
PSVFSS,32,18,166500
PSVFSS,32,19,176989
PSVFSS,32,20,179275
PSVFSS,32,21,243956
PSVFSS,32,22,178725
PSVFSS,32,23,229804
PSVFSS,32,24,189846
PSVFSS,32,25,178908
PSVFSS,32,26,199609
PSVFSS,32,27,217838
PSVFSS,32,28,221493
PSVFSS,32,29,156748
PSVFSS,32,30,201830
PSVFSS,32,31,188073
PSVFSS,32,32,208167
PSVFSS,32,33,161808
PSVFSS,32,34,174133
PSVFSS,32,35,196743
PSVFSS,32,36,180139
PSVFSS,32,37,206303
PSVFSS,32,38,204117
PSVFSS,32,39,155279
PSVFSS,32,40,171065
PSVFSS,32,41,193271
PSVFSS,32,42,170459
PSVFSS,32,43,180258
PSVFSS,32,44,183546
PSVFSS,32,45,202354
PSVFSS,32,46,202537
PSVFSS,32,47,244260
PSVFSS,32,48,198377
PSVFSS,32,49,177227
PSVFSS,32,50,182985
PSVFSS,32,51,157960
PSVFSS,32,52,190636
PSVFSS,32,53,217112
PSVFSS,32,54,230263
PSVFSS,32,55,296754
PSVFSS,32,56,386561
PSVFSS,32,57,249206
PSVFSS,32,58,210638
PSVFSS,32,59,232467
PSVFSS,32,60,190636
PSVFSS,32,61,219720
PSVFSS,32,62,200508
PSVFSS,32,63,187385
PSVFSS,32,64,189671
PSVFSS,32,65,189892
PSVFSS,32,66,189910
PSVFSS,32,67,188082
