timestamp,scheme,experiment,operation,role,B,trial,warmup,total_time_ns,per_signal_time_ns,scheme_specific_parameters,recipient_mode,status
1787733239623635257,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-20,true,99274,9927,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239626606233,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-19,true,219808,21980,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239628609502,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-18,true,226921,22692,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239630165370,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-17,true,98163,9816,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239631860096,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-16,true,220760,22076,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239633887068,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-15,true,99695,9969,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239635292267,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-14,true,98543,9854,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239636968479,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-13,true,98062,9806,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239638307003,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-12,true,97731,9773,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239639864745,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-11,true,97601,9760,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239641373786,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-10,true,186336,18633,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239642860396,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-9,true,205661,20566,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239644355181,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-8,true,105766,10576,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239646133081,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-7,true,110205,11020,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239647528943,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-6,true,113270,11327,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239649593736,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-5,true,292393,29239,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239651403375,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-4,true,119812,11981,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239653402220,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-3,true,125423,12542,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239655027362,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-2,true,122116,12211,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239656567191,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,-1,true,123569,12356,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239658175566,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,0,false,131033,13103,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239660228312,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,1,false,130572,13057,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239662028249,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,2,false,229787,22978,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239663712816,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,3,false,130452,13045,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239666092739,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,4,false,135331,13533,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239667791898,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,5,false,131364,13136,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239669592090,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,6,false,130853,13085,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239671289170,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,7,false,129049,12904,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239672903116,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,8,false,126214,12621,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239674465697,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,9,false,126324,12632,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239676703591,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,10,false,224948,22494,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239678365747,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,11,false,140411,14041,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239680091059,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,12,false,230849,23084,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239681902542,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,13,false,205702,20570,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239683834944,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,14,false,142394,14239,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239686001962,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,15,false,145430,14543,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239687937886,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,16,false,142134,14213,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239689775347,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,17,false,139249,13924,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239691654275,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,18,false,137084,13708,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239693757179,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,19,false,205332,20533,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239695472513,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,20,false,151231,15123,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239697172599,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,21,false,139058,13905,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239699056617,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,22,false,215019,21501,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239701282649,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,23,false,142224,14222,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239703084228,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,24,false,142715,14271,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239705071572,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,25,false,216983,21698,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239706968453,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,26,false,135782,13578,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239709168928,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,27,false,128880,12888,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239710889302,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,28,false,126525,12652,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239712495063,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,29,false,122017,12201,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239714320572,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,30,false,122017,12201,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239716299576,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,31,false,133769,13376,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239718278955,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,32,false,122387,12238,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239720207760,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,33,false,121806,12180,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239722368962,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,34,false,206042,20604,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239724213506,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,35,false,118480,11848,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239725683590,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,36,false,112639,11263,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787733239727427438,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,10,37,false,113240,11324,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
