scheme,B,trials,mean_ns,median_ns,std_ns,ci95_low_ns,ci95_high_ns,mean_ms,median_ms,ci95_low_ms,ci95_high_ms
PSVFSS,10,100,63212.180000000,61985.000000000,13753.540961417,60516.485971562,65907.874028438,0.063212180,0.061985000,0.060516486,0.065907874
PSVFSS,32,100,196779.940000000,190636.000000000,32611.137993773,190388.156953221,203171.723046779,0.196779940,0.190636000,0.190388157,0.203171723
PSVFSS,100,100,596244.210000000,598305.000000000,43564.319596256,587705.603359134,604782.816640866,0.596244210,0.598305000,0.587705603,0.604782817
PSVFSS,316,100,1884464.580000000,1858407.500000000,128275.359279900,1859322.609581140,1909606.550418861,1.884464580,1.858407500,1.859322610,1.909606550
PSVFSS,1000,100,6451493.790000000,6387517.500000000,362094.597272014,6380523.248934685,6522464.331065315,6.451493790,6.387517500,6.380523249,6.522464331
PPS-GC,10,100,145882.200000000,129750.500000000,44166.298715220,137225.605451817,154538.794548183,0.145882200,0.129750500,0.137225605,0.154538795
PPS-GC,32,100,444489.740000000,401665.500000000,154292.628608045,414248.384792823,474731.095207177,0.444489740,0.401665500,0.414248385,0.474731095
PPS-GC,100,100,1129963.360000000,992232.000000000,278776.213389102,1075323.222175736,1184603.497824264,1.129963360,0.992232000,1.075323222,1.184603498
PPS-GC,316,100,3323541.580000000,3348842.000000000,468261.377338763,3231762.350041602,3415320.809958398,3.323541580,3.348842000,3.231762350,3.415320810
PPS-GC,1000,100,9696279.720000001,9636273.000000000,528215.724977644,9592749.437904382,9799810.002095619,9.696279720,9.636273000,9.592749438,9.799810002
FMD,10,100,4368395.500000000,4336474.500000000,509504.950978720,4268532.529608171,4468258.470391829,4.368395500,4.336474500,4.268532530,4.468258470
FMD,32,100,12806748.390000001,12739068.000000000,691745.327436595,12671166.305822428,12942330.474177573,12.806748390,12.739068000,12.671166306,12.942330474
FMD,100,100,39959158.920000002,39535962.000000000,1682996.767455400,39629291.553578742,40289026.286421262,39.959158920,39.535962000,39.629291554,40.289026286
FMD,316,100,121112539.939999998,120663691.500000000,2640602.708376210,120594981.809158266,121630098.070841730,121.112539940,120.663691500,120.594981809,121.630098071
FMD,1000,100,381368440.500000000,380802651.500000000,3971862.026075203,380589955.542889237,382146925.457110763,381.368440500,380.802651500,380.589955543,382.146925457
OMR,10,100,37645897.909999996,36650135.500000000,4568770.834642522,36750418.826410063,38541376.993589930,37.645897910,36.650135500,36.750418826,38.541376994
OMR,32,100,120385514.560000002,119479385.000000000,8748103.108962847,118670886.350643277,122100142.769356728,120.385514560,119.479385000,118.670886351,122.100142769
OMR,100,100,389199744.149999976,390432902.000000000,26009677.108984675,384101847.436638951,394297640.863361001,389.199744150,390.432902000,384.101847437,394.297640863
OMR,316,100,1306312815.509999990,1315497589.500000000,61429301.313154072,1294272672.452621698,1318352958.567378283,1306.312815510,1315.497589500,1294.272672453,1318.352958567
OMR,1000,100,4131668033.849999905,4116253842.000000000,165915589.999606907,4099148578.210076809,4164187489.489923000,4131.668033850,4116.253842000,4099.148578210,4164.187489490
