timestamp,scheme,experiment,operation,role,B,trial,warmup,total_time_ns,per_signal_time_ns,scheme_specific_parameters,recipient_mode,status
2026-08-19T14:30:54.996730295Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-20,true,8000295,800029,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
2026-08-19T14:30:55.012433184Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-19,true,7834636,783463,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
2026-08-19T14:30:55.022221125Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-18,true,3711969,371196,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
2026-08-19T14:30:55.032285342Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-17,true,3724753,372475,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
2026-08-19T14:30:55.042593086Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-16,true,5364011,536401,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
2026-08-19T14:30:55.053074246Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-15,true,3940048,394004,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
2026-08-19T14:30:55.061107412Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-14,true,3752691,375269,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
2026-08-19T14:30:55.075147117Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-13,true,5542239,554223,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
2026-08-19T14:30:55.087624646Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-12,true,3810676,381067,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
2026-08-19T14:30:55.099569615Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-11,true,3774860,377486,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
2026-08-19T14:30:55.109832063Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-10,true,4357450,435745,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
