timestamp,scheme,experiment,operation,role,B,trial,warmup,total_time_ns,per_signal_time_ns,scheme_specific_parameters,recipient_mode,status
2026-08-19T14:51:23.274841854Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-20,true,4081736,408173,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
2026-08-19T14:51:23.280957275Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-19,true,3925974,392597,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
2026-08-19T14:51:23.286836673Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-18,true,3827087,382708,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
2026-08-19T14:51:23.293083165Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-17,true,4161675,416167,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
2026-08-19T14:51:23.298847545Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-16,true,3913029,391302,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
2026-08-19T14:51:23.305099428Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-15,true,3981160,398116,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
2026-08-19T14:51:23.31147407Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-14,true,4406024,440602,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
2026-08-19T14:51:23.31812827Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-13,true,4818898,481889,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
2026-08-19T14:51:23.323704195Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-12,true,3670853,367085,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
2026-08-19T14:51:23.329544751Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-11,true,4144258,414425,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
2026-08-19T14:51:23.335512869Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-10,true,3785164,378516,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
2026-08-19T14:51:23.341112442Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-9,true,3802935,380293,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
2026-08-19T14:51:23.346876359Z,FMD,multiple_signal_sender_scalability,flag_generation,sender,10,-8,true,3853886,385388,gamma=8;p=2^-8;curve=P-256,fixed_target_recipient,ok
