scheme,B,sample_count,mean_total_ns,median_total_ns,std_total_ns,cv_total,ci95_total_low_ns,ci95_total_high_ns,relative_ci_total_half_width,min_total_ns,p25_total_ns,p75_total_ns,p95_total_ns,p99_total_ns,max_total_ns,mean_per_signal_ns,median_per_signal_ns,std_per_signal_ns,status
PSVFSS,10,800,60962.67375,58528.0,14709.786398676199,0.2412916870903517,59943.33755819366,61982.00994180634,0.01672066084218196,35009,51484,67253,86309,109994,172815,6096.267375,5852.8,1470.97863986762,complete
PSVFSS,50,200,303644.045,300626.5,34710.3270875629,0.11431255662386827,298833.4390984795,308454.65090152045,0.015842912056847656,227381,280546,320844,354540,413315,478254,6072.8809,6012.53,694.206541751258,complete
PSVFSS,100,100,595158.17,587876.5,45607.67931971987,0.07663119086430396,586219.0648533349,604097.2751466652,0.015019713409403576,498063,566345,626021,674254,705865,711816,5951.5817,5878.765,456.07679319719875,complete
PSVFSS,500,100,2976855.54,2972432.5,101465.27455277047,0.03408471563009419,2956968.346187657,2996742.733812343,0.006680604263498461,2770854,2908802,3032039,3124851,3190111,3439597,5953.71108,5944.865,202.93054910554096,complete
PSVFSS,1000,100,6016334.75,5967453.0,322665.2016989776,0.053631524026979654,5953092.370467001,6079577.129532999,0.010511778709288011,5586468,5817256,6073989,6794009,7255930,7527292,6016.33475,5967.4529999999995,322.6652016989777,complete
FMD,10,200,4030012.875,3863850.0,433286.07350200316,0.10751481122799221,3969962.488929676,4090063.261070324,0.014900792611071748,3536403,3668668,4307931,4773971,5073614,5962801,403001.2875,386385.0,43328.60735020031,complete
FMD,50,100,18857450.08,18822063.5,559243.679739322,0.02965637863904249,18747838.31877109,18967061.841228906,0.005812650213252327,17908009,18510524,19153270,20001585,20474552,20642584,377149.0016,376441.27,11184.87359478644,complete
FMD,100,100,37216607.47,37006063.5,968334.7141370894,0.02601888726471525,37026813.86602913,37406401.07397087,0.00509970190388419,35941583,36566554,37637923,38973275,40541697,41575294,372166.0747,370060.635,9683.347141370892,complete
FMD,500,100,185274467.33,184722187.5,2222414.3428509585,0.011995254256446056,184838874.11880124,185710060.5411988,0.002351069834263427,181452002,183710743,186486209,189518035,190420408,192796165,370548.93466,369444.375,4444.828685701917,complete
FMD,1000,100,373309255.85,372753016.5,5713973.846417139,0.015306274240125137,372189316.9761023,374429194.72389776,0.0030000297510645265,364350845,369372297,375266721,381055136,397483849,400129942,373309.25585,372753.0165,5713.973846417139,complete
PPS-GC,10,1600,116778.31625,91516.5,46611.493184600375,0.3991451040004216,114494.35308395459,119062.27941604542,0.019558110096020657,88109,90029,115605,207158,244913,432850,11677.831625,9151.650000000001,4661.149318460038,complete
PPS-GC,50,1100,543365.5,456360.0,177993.26593102486,0.3275755746933231,532846.7701684164,553884.2298315836,0.019358479387417027,440059,447231,512114,1003281,1059586,1137593,10867.31,9127.2,3559.8653186204974,complete
PPS-GC,100,1000,1090318.026,927253.5,281285.4986172299,0.2579848190249309,1072883.770171231,1107752.2818287692,0.015990064745356376,880200,897061,1291927,1645382,1846378,2399076,10903.18026,9272.535,2812.8549861722995,complete
PPS-GC,500,100,4871650.79,4675896.5,360514.6382572887,0.07400256171836338,4800989.920901571,4942311.659098429,0.014504502096799224,4500273,4594795,5177474,5489020,5874876,6082006,9743.30158,9351.793,721.0292765145774,complete
PPS-GC,1000,100,9581631.69,9456476.5,432153.6574972102,0.0451023031858168,9496929.573130546,9666333.806869453,0.008840051424420093,9102832,9217207,9822583,10481858,10623471,10638542,9581.63169,9456.4765,432.15365749721025,complete
OMR,10,50,41142227.64,40882842.0,2150707.010031625,0.05227492854423439,40546082.07163359,41738373.20836641,0.014489870932190776,37307748,39275534,42338906,45071661,47006051,47006051,4114222.764,4088284.2,215070.7010031625,complete
OMR,50,30,206897427.23333332,207453089.5,3808497.86707909,0.018407661796509288,205534573.77455375,208260280.6921129,0.006587097176624482,200425968,204556394,208751339,214009265,217481792,217481792,4137948.5446666665,4149061.79,76169.95734158179,complete
OMR,100,30,416453401.9,417460030.0,7926016.740958154,0.01903218152330371,413617113.2353449,419289690.56465507,0.006810578690713031,405623787,408356809,423392637,427726864,431228855,431228855,4164534.019,4174600.3,79260.16740958155,complete
OMR,500,30,2087721088.9666667,2085572052.5,10563539.467407633,0.005059842295618203,2083940974.9157817,2091501203.0175517,0.0018106413116494907,2071819387,2078664442,2096839656,2104299659,2106120051,2106120051,4175442.1779333334,4171144.105,21127.078934815247,complete
OMR,1000,30,3958669876.3333335,4035313220.0,172708690.57966614,0.04362795988930386,3896866865.13766,4020472887.529007,0.015612064942610844,3716525711,3732579104,4115193408,4143171990,4147512127,4147512127,3958669.8763333336,4035313.2199999997,172708.69057966614,complete
