timestamp,scheme,experiment,operation,role,B,trial,warmup,total_time_ns,per_signal_time_ns,scheme_specific_parameters,recipient_mode,status,session_id,session_start_time
1787151520,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,-5,true,2100479622,4200959,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s1,2026-08-19T14:58:37Z
1787151522,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,-4,true,2090795181,4181590,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s1,2026-08-19T14:58:37Z
1787151524,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,-3,true,2095116039,4190232,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s1,2026-08-19T14:58:37Z
1787151526,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,-2,true,2082998537,4165997,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s1,2026-08-19T14:58:37Z
1787151528,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,-1,true,2088973124,4177946,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s1,2026-08-19T14:58:37Z
1787151530,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,0,false,2074898748,4149797,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s1,2026-08-19T14:58:37Z
1787151535,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,1,false,2106120051,4212240,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s1,2026-08-19T14:58:37Z
1787151537,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,2,false,2079071608,4158143,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s1,2026-08-19T14:58:37Z
1787151539,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,3,false,2075801176,4151602,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s1,2026-08-19T14:58:37Z
1787151542,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,4,false,2082709475,4165418,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s1,2026-08-19T14:58:37Z
1787151544,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,5,false,2078664442,4157328,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s1,2026-08-19T14:58:37Z
1787151546,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,6,false,2093339050,4186678,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s1,2026-08-19T14:58:37Z
1787151548,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,7,false,2102610011,4205220,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s1,2026-08-19T14:58:37Z
1787151550,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,8,false,2102529097,4205058,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s1,2026-08-19T14:58:37Z
1787151552,OMR,multiple_signal_sender_scalability,clue_generation,sender,500,9,false,2087654689,4175309,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok,omr_B500_s1,2026-08-19T14:58:37Z
