timestamp,scheme,experiment,operation,role,B,trial,warmup,total_time_ns,per_signal_time_ns,scheme_specific_parameters,recipient_mode,status
1787151275,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,-20,true,380091316,3800913,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151276,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,-19,true,387100672,3871006,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151276,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,-18,true,385097336,3850973,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151276,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,-17,true,382286231,3822862,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151277,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,-16,true,388437249,3884372,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151277,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,-15,true,380433882,3804338,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151278,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,-14,true,384766979,3847669,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151278,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,-13,true,375654318,3756543,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151278,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,-12,true,383263279,3832632,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151279,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,-11,true,385110465,3851104,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151279,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,-10,true,381551230,3815512,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151280,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,-9,true,380346606,3803466,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151280,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,-8,true,376467191,3764671,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151280,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,-7,true,385033173,3850331,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151281,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,-6,true,385571630,3855716,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151281,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,-5,true,383432339,3834323,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151281,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,-4,true,391688350,3916883,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151282,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,-3,true,386784498,3867844,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151282,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,-2,true,384556915,3845569,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151283,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,-1,true,387191916,3871919,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151283,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,0,false,389202262,3892022,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151283,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,1,false,385255751,3852557,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151284,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,2,false,383598268,3835982,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151284,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,3,false,382212499,3822124,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151285,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,4,false,386050694,3860506,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151288,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,5,false,386973170,3869731,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151288,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,6,false,380408309,3804083,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151289,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,7,false,379025429,3790254,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151289,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,8,false,383428247,3834282,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151289,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,9,false,375653810,3756538,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151290,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,10,false,384801092,3848010,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151290,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,11,false,393627274,3936272,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151291,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,12,false,385116975,3851169,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151291,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,13,false,384360276,3843602,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151291,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,14,false,384006351,3840063,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151292,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,15,false,379213845,3792138,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151292,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,16,false,385725389,3857253,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151292,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,17,false,388512072,3885120,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
1787151293,OMR,multiple_signal_sender_scalability,clue_generation,sender,100,18,false,381265102,3812651,PVW_n=450;PVW_q=65537;PVW_stddev=1.3;PVW_m=16000;PVW_ell=4,fixed_target_recipient,ok
