timestamp,scheme,experiment,operation,role,B,trial,warmup,total_time_ns,per_signal_time_ns,scheme_specific_parameters,recipient_mode,status
1787150132393999433,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,-10,true,9700530,9700,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132405833665,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,-9,true,9993795,9993,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132416650923,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,-8,true,9215196,9215,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132427615996,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,-7,true,9229275,9229,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132440126488,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,-6,true,10538811,10538,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132450999891,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,-5,true,9317631,9317,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132461764654,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,-4,true,9157026,9157,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132473544511,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,-3,true,9430387,9430,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132485109777,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,-2,true,10188289,10188,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132497201099,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,-1,true,10524406,10524,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132509004345,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,0,false,10356004,10356,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132520031573,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,1,false,9314482,9314,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132531173413,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,2,false,9361961,9361,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132542522402,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,3,false,9787307,9787,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132555195269,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,4,false,10684645,10684,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132567206849,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,5,false,10111972,10111,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132579485814,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,6,false,10068413,10068,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132591132385,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,7,false,9941485,9941,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132601847864,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,8,false,9294291,9294,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132612931677,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,9,false,9251876,9251,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132624686924,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,10,false,9431179,9431,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132636526983,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,11,false,10466107,10466,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132648144369,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,12,false,9852945,9852,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132659850956,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,13,false,9779295,9779,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132671364683,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,14,false,9246099,9246,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132682608022,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,15,false,9436708,9436,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132694042973,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,16,false,10021863,10021,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132705583503,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,17,false,9211674,9211,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132716780409,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,18,false,9272007,9272,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132727676702,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,19,false,9375058,9375,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132739003146,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,20,false,9280856,9280,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132750348044,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,21,false,9191675,9191,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132761887890,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,22,false,9907202,9907,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132773074088,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,23,false,9693973,9693,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132783727582,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,24,false,9132415,9132,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132796333200,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,25,false,10086960,10086,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
1787150132807236473,PPS-GC,multiple_signal_sender_scalability,share_generation,sender,1000,26,false,9315965,9315,recipient_bits=16;location_bytes=32,fixed_target_recipient,ok
