timestamp,scheme,experiment,operation,role,trial,warmup,message_size_bytes,recipient_input_size,scheme_specific_parameters,wall_time_ns,output_bytes,output_bytes_status,status,git_commit,compiler,compiler_version,build_type,machine_id
2026-08-19T13:43:25.276451964Z,FMD,sender_signaling,fmd_flag_generation,sender,0,true,not_applicable,unclear,gamma=8;p=2^-8;curve=P-256,502417,268,measured,ok,unavailable,gc,go1.18.1,Release,JerryZ
2026-08-19T13:43:25.279507822Z,FMD,sender_signaling,fmd_sender_total_signaling,sender,0,true,not_applicable,unclear,gamma=8;p=2^-8;curve=P-256,537554,269,measured,ok,unavailable,gc,go1.18.1,Release,JerryZ
2026-08-19T13:43:25.282472251Z,FMD,sender_signaling,fmd_flag_generation,sender,1,false,not_applicable,unclear,gamma=8;p=2^-8;curve=P-256,399953,269,measured,ok,unavailable,gc,go1.18.1,Release,JerryZ
2026-08-19T13:43:25.283607222Z,FMD,sender_signaling,fmd_sender_preparation,sender,1,false,not_applicable,unclear,gamma=8;p=2^-8;curve=P-256,-1,,not_applicable,not_applicable,unavailable,gc,go1.18.1,Release,JerryZ
2026-08-19T13:43:25.284663709Z,FMD,sender_signaling,message_encryption,sender,1,false,not_applicable,unclear,gamma=8;p=2^-8;curve=P-256,-1,,not_applicable,not_applicable,unavailable,gc,go1.18.1,Release,JerryZ
2026-08-19T13:43:25.286578819Z,FMD,sender_signaling,fmd_sender_total_signaling,sender,1,false,not_applicable,unclear,gamma=8;p=2^-8;curve=P-256,377351,270,measured,ok,unavailable,gc,go1.18.1,Release,JerryZ
2026-08-19T13:43:25.288699663Z,FMD,sender_signaling,fmd_flag_generation,sender,2,false,not_applicable,unclear,gamma=8;p=2^-8;curve=P-256,390953,269,measured,ok,unavailable,gc,go1.18.1,Release,JerryZ
2026-08-19T13:43:25.289933842Z,FMD,sender_signaling,fmd_sender_preparation,sender,2,false,not_applicable,unclear,gamma=8;p=2^-8;curve=P-256,-1,,not_applicable,not_applicable,unavailable,gc,go1.18.1,Release,JerryZ
2026-08-19T13:43:25.291140548Z,FMD,sender_signaling,message_encryption,sender,2,false,not_applicable,unclear,gamma=8;p=2^-8;curve=P-256,-1,,not_applicable,not_applicable,unavailable,gc,go1.18.1,Release,JerryZ
2026-08-19T13:43:25.292998608Z,FMD,sender_signaling,fmd_sender_total_signaling,sender,2,false,not_applicable,unclear,gamma=8;p=2^-8;curve=P-256,404251,270,measured,ok,unavailable,gc,go1.18.1,Release,JerryZ
2026-08-19T13:43:25.295632913Z,FMD,sender_signaling,fmd_flag_generation,sender,3,false,not_applicable,unclear,gamma=8;p=2^-8;curve=P-256,465461,270,measured,ok,unavailable,gc,go1.18.1,Release,JerryZ
2026-08-19T13:43:25.297019345Z,FMD,sender_signaling,fmd_sender_preparation,sender,3,false,not_applicable,unclear,gamma=8;p=2^-8;curve=P-256,-1,,not_applicable,not_applicable,unavailable,gc,go1.18.1,Release,JerryZ
2026-08-19T13:43:25.297971637Z,FMD,sender_signaling,message_encryption,sender,3,false,not_applicable,unclear,gamma=8;p=2^-8;curve=P-256,-1,,not_applicable,not_applicable,unavailable,gc,go1.18.1,Release,JerryZ
2026-08-19T13:43:25.299835446Z,FMD,sender_signaling,fmd_sender_total_signaling,sender,3,false,not_applicable,unclear,gamma=8;p=2^-8;curve=P-256,377048,269,measured,ok,unavailable,gc,go1.18.1,Release,JerryZ
