timestamp,scheme,experiment,operation,role,trial,warmup,message_size_bytes,recipient_input_size,scheme_specific_parameters,wall_time_ns,output_bytes,output_bytes_status,status,git_commit,compiler,compiler_version,build_type,machine_id
1787140872407613710,PPS-GC,sender_signaling,pps_gc_share_generation,sender,0,true,32,2,recipient_bits=16;location_bytes=32,9817,68,measured,ok,unavailable,rustc,nightly-2021-05-06,Release,unknown
1787140872409521973,PPS-GC,sender_signaling,pps_gc_sender_preparation,sender,0,true,32,2,recipient_bits=16;location_bytes=32,64,68,measured,ok,unavailable,rustc,nightly-2021-05-06,Release,unknown
1787140872410976177,PPS-GC,sender_signaling,pps_gc_sender_total_signaling,sender,0,true,32,2,recipient_bits=16;location_bytes=32,9955,68,measured,ok,unavailable,rustc,nightly-2021-05-06,Release,unknown
1787140872412265623,PPS-GC,sender_signaling,pps_gc_share_generation,sender,1,false,32,2,recipient_bits=16;location_bytes=32,9542,68,measured,ok,unavailable,rustc,nightly-2021-05-06,Release,unknown
1787140872413601788,PPS-GC,sender_signaling,pps_gc_sender_preparation,sender,1,false,32,2,recipient_bits=16;location_bytes=32,129,68,measured,ok,unavailable,rustc,nightly-2021-05-06,Release,unknown
1787140872415061057,PPS-GC,sender_signaling,message_encryption,sender,1,false,32,2,recipient_bits=16;location_bytes=32,-1,,not_applicable,not_applicable,unavailable,rustc,nightly-2021-05-06,Release,unknown
1787140872416319614,PPS-GC,sender_signaling,pps_gc_sender_total_signaling,sender,1,false,32,2,recipient_bits=16;location_bytes=32,10699,68,measured,ok,unavailable,rustc,nightly-2021-05-06,Release,unknown
1787140872417503448,PPS-GC,sender_signaling,pps_gc_share_generation,sender,2,false,32,2,recipient_bits=16;location_bytes=32,9790,68,measured,ok,unavailable,rustc,nightly-2021-05-06,Release,unknown
1787140872418714319,PPS-GC,sender_signaling,pps_gc_sender_preparation,sender,2,false,32,2,recipient_bits=16;location_bytes=32,211,68,measured,ok,unavailable,rustc,nightly-2021-05-06,Release,unknown
1787140872419834876,PPS-GC,sender_signaling,message_encryption,sender,2,false,32,2,recipient_bits=16;location_bytes=32,-1,,not_applicable,not_applicable,unavailable,rustc,nightly-2021-05-06,Release,unknown
1787140872421093245,PPS-GC,sender_signaling,pps_gc_sender_total_signaling,sender,2,false,32,2,recipient_bits=16;location_bytes=32,9827,68,measured,ok,unavailable,rustc,nightly-2021-05-06,Release,unknown
1787140872422179639,PPS-GC,sender_signaling,pps_gc_share_generation,sender,3,false,32,2,recipient_bits=16;location_bytes=32,9670,68,measured,ok,unavailable,rustc,nightly-2021-05-06,Release,unknown
1787140872423326775,PPS-GC,sender_signaling,pps_gc_sender_preparation,sender,3,false,32,2,recipient_bits=16;location_bytes=32,138,68,measured,ok,unavailable,rustc,nightly-2021-05-06,Release,unknown
1787140872424453155,PPS-GC,sender_signaling,message_encryption,sender,3,false,32,2,recipient_bits=16;location_bytes=32,-1,,not_applicable,not_applicable,unavailable,rustc,nightly-2021-05-06,Release,unknown
1787140872425728330,PPS-GC,sender_signaling,pps_gc_sender_total_signaling,sender,3,false,32,2,recipient_bits=16;location_bytes=32,10194,68,measured,ok,unavailable,rustc,nightly-2021-05-06,Release,unknown
