implementation,users,bits,threads,repetition,keygen_ms,server0_ms,server1_ms,protocol_wall_ms,verify_ms,correctness_ms,users_per_second,peak_rss_mb,proof_equal,outputs_correct
parallel,100000,50,2,1,0.005223,87.591177,50.322044,87.591177,0.002826,0.086201,1141667.499,8.777,1,1
parallel,100000,50,2,2,0.005223,50.185915,50.527266,50.527266,0.000077,0.047696,1979129.447,8.777,1,1
parallel,100000,50,2,3,0.005223,50.481530,50.397611,50.481530,0.000075,0.063231,1980922.528,8.777,1,1
parallel,100000,50,2,4,0.005223,50.436866,50.534259,50.534259,0.000074,0.048354,1978855.572,8.777,1,1
parallel,100000,50,2,5,0.005223,50.510608,50.477613,50.510608,0.000075,0.047564,1979782.148,8.777,1,1
parallel,100000,50,2,6,0.005223,50.550345,50.263682,50.550345,0.000077,0.055418,1978225.866,8.777,1,1
parallel,100000,50,2,7,0.005223,50.301360,50.618946,50.618946,0.000076,0.047550,1975544.888,8.777,1,1
parallel,100000,50,2,8,0.005223,50.648684,50.647207,50.648684,0.000077,0.112479,1974384.961,8.777,1,1
parallel,100000,50,2,9,0.005223,50.414788,50.522764,50.522764,0.000075,0.086692,1979305.804,8.777,1,1
parallel,100000,50,2,10,0.005223,50.547525,50.639193,50.639193,0.000073,0.053940,1974755.008,8.777,1,1
